concept_id,jlpt_level,expression,reading,meaning,source,source_id,review_status
n4-vocab-1153930-c0c75d9e,N4,安全,あんぜん,safety,"Jonathan Waller JLPT vocabulary list",1153930,seed
n4-vocab-1000590-9b5c4bf2,N4,あんな,あんな,such,"Jonathan Waller JLPT vocabulary list",1000590,seed
n4-vocab-1154860-a265d110,N4,案内,あんない,"to guide","Jonathan Waller JLPT vocabulary list",1154860,seed
n4-vocab-1155060-cfc154b1,N4,以下,いか,"less than","Jonathan Waller JLPT vocabulary list",1155060,seed
n4-vocab-1155090-bd7bd028,N4,以外,いがい,"with the exception of","Jonathan Waller JLPT vocabulary list",1155090,seed
n4-vocab-1159810-9a6bdff2,N4,医学,いがく,"medical science","Jonathan Waller JLPT vocabulary list",1159810,seed
n4-vocab-1378520-f340df86,N4,生きる,いきる,"to live","Jonathan Waller JLPT vocabulary list",1378520,seed
n4-vocab-1156530-fcd9e639,N4,意見,いけん,opinion,"Jonathan Waller JLPT vocabulary list",1156530,seed
n4-vocab-1382440-02459eea,N4,石,いし,stone,"Jonathan Waller JLPT vocabulary list",1382440,seed
n4-vocab-1195140-e53ef7f1,N4,いじめる,いじめる,"to tease","Jonathan Waller JLPT vocabulary list",1195140,seed
n4-vocab-1155120-d9b37de6,N4,以上,いじょう,"more than,this is all","Jonathan Waller JLPT vocabulary list",1155120,seed
n4-vocab-1228650-11e5d707,N4,急ぐ,いそぐ,"to hurry","Jonathan Waller JLPT vocabulary list",1228650,seed
n4-vocab-1421900-5bd0683d,N4,致す,いたす,"(humble) to do","Jonathan Waller JLPT vocabulary list",1421900,seed
n4-vocab-1587290-6dabc664,N4,いただく,いただく,"(humble) to receive","Jonathan Waller JLPT vocabulary list",1587290,seed
n4-vocab-1576250-9cac0cfe,N4,一度,いちど,once,"Jonathan Waller JLPT vocabulary list",1576250,seed
n4-vocab-1164010-4d898c93,N4,一生懸命,いっしょうけんめい,"with utmost effort","Jonathan Waller JLPT vocabulary list",1164010,seed
n4-vocab-1165670-e11a751a,N4,一杯,いっぱい,full,"Jonathan Waller JLPT vocabulary list",1165670,seed
n4-vocab-1311450-be03ad5c,N4,糸,いと,thread,"Jonathan Waller JLPT vocabulary list",1311450,seed
n4-vocab-1155180-8d47f055,N4,以内,いない,within,"Jonathan Waller JLPT vocabulary list",1155180,seed
n4-vocab-1442750-ae76b559,N4,田舎,いなか,countryside,"Jonathan Waller JLPT vocabulary list",1442750,seed
n4-vocab-1222770-57465e3b,N4,祈る,いのる,"to pray","Jonathan Waller JLPT vocabulary list",1222770,seed
n4-vocab-1000940-6d56f232,N4,いらっしゃる,いらっしゃる,"(respectful) to be,to come or to go","Jonathan Waller JLPT vocabulary list",1000940,seed
n4-vocab-1357250-f9918459,N4,植える,うえる,"to plant,to grow","Jonathan Waller JLPT vocabulary list",1357250,seed
n4-vocab-1305700-77ec51bf,N4,伺う,うかがう,"to visit","Jonathan Waller JLPT vocabulary list",1305700,seed
n4-vocab-1588060-84e90680,N4,受付,うけつけ,receipt,"Jonathan Waller JLPT vocabulary list",1588060,seed
n4-vocab-1329590-824df849,N4,受ける,うける,"to take a lesson or test","Jonathan Waller JLPT vocabulary list",1329590,seed
n4-vocab-1451210-23c620fe,N4,動く,うごく,"to move","Jonathan Waller JLPT vocabulary list",1451210,seed
n4-vocab-1172400-bb43dba3,N4,嘘,うそ,"a lie","Jonathan Waller JLPT vocabulary list",1172400,seed
n4-vocab-1457730-02a26875,N4,内,うち,within,"Jonathan Waller JLPT vocabulary list",1457730,seed
n4-vocab-1408810-3db7df54,N4,打つ,うつ,"to hit","Jonathan Waller JLPT vocabulary list",1408810,seed
n4-vocab-1486360-8e9f8927,N4,美しい,うつくしい,beautiful,"Jonathan Waller JLPT vocabulary list",1486360,seed
n4-vocab-1588320-fe7e8264,N4,写す,うつす,"to copy or photograph","Jonathan Waller JLPT vocabulary list",1588320,seed
n4-vocab-1158210-3bc421af,N4,移る,うつる,"to move house or transfer","Jonathan Waller JLPT vocabulary list",1158210,seed
n4-vocab-1562850-a79e5cb8,N4,腕,うで,arm,"Jonathan Waller JLPT vocabulary list",1562850,seed
n4-vocab-1310460-547e6f06,N4,上手い,うまい,delicious,"Jonathan Waller JLPT vocabulary list",1310460,seed
n4-vocab-1550190-af3d6fa9,N4,裏,うら,"reverse side","Jonathan Waller JLPT vocabulary list",1550190,seed
n4-vocab-1588550-abeab4e1,N4,売り場,うりば,"place where things are sold","Jonathan Waller JLPT vocabulary list",1588550,seed
n4-vocab-1219510-15c71f1e,N4,うれしい,うれしい,glad,"Jonathan Waller JLPT vocabulary list",1219510,seed
n4-vocab-1001090-9e064547,N4,うん,うん,"(informal) yes","Jonathan Waller JLPT vocabulary list",1001090,seed
n4-vocab-1172830-97286352,N4,運転,うんてん,"to drive","Jonathan Waller JLPT vocabulary list",1172830,seed
n4-vocab-1172870-ac01e82f,N4,運転手,うんてんしゅ,driver,"Jonathan Waller JLPT vocabulary list",1172870,seed
n4-vocab-1172910-06ebbd35,N4,運動,うんどう,"to exercise","Jonathan Waller JLPT vocabulary list",1172910,seed
n4-vocab-1028580-ce7d0ad6,N4,エスカレーター,エスカレーター,escalator,"Jonathan Waller JLPT vocabulary list",1028580,seed
n4-vocab-1310530-72f9111d,N4,枝,えだ,"branch, twig","Jonathan Waller JLPT vocabulary list",1310530,seed
n4-vocab-1588730-0037b625,N4,選ぶ,えらぶ,"to choose","Jonathan Waller JLPT vocabulary list",1588730,seed
n4-vocab-1178450-2bd76dec,N4,遠慮,えんりょ,"to be reserved, to be restrained","Jonathan Waller JLPT vocabulary list",1178450,seed
n4-vocab-1001180-9180745c,N4,おいでになる,おいでになる,"(respectful) to be","Jonathan Waller JLPT vocabulary list",1001180,seed
n4-vocab-1612770-4766dfbd,N4,お祝い,おいわい,congratulation,"Jonathan Waller JLPT vocabulary list",1612770,seed
n4-vocab-1032030-d0713170,N4,オートバイ,オートバイ,motorcycle,"Jonathan Waller JLPT vocabulary list",1032030,seed
n4-vocab-1001640-3ae1b533,N4,おかげ,おかげ,"owing to","Jonathan Waller JLPT vocabulary list",1001640,seed
n4-vocab-1190860-20f6b2c9,N4,おかしい,おかしい,"strange or funny","Jonathan Waller JLPT vocabulary list",1190860,seed
n4-vocab-1182620-9b178a79,N4,億,おく,"one hundred million","Jonathan Waller JLPT vocabulary list",1182620,seed
n4-vocab-1182710-b37eef61,N4,屋上,おくじょう,rooftop,"Jonathan Waller JLPT vocabulary list",1182710,seed
n4-vocab-1589030-b8b7ba4e,N4,贈り物,おくりもの,gift,"Jonathan Waller JLPT vocabulary list",1589030,seed
n4-vocab-1402730-0199c964,N4,送る,おくる,"to send","Jonathan Waller JLPT vocabulary list",1402730,seed
n4-vocab-1589040-7357ebf2,N4,遅れる,おくれる,"to be late","Jonathan Waller JLPT vocabulary list",1589040,seed
n4-vocab-1223660-3b67d0a8,N4,起す,おこす,"to wake","Jonathan Waller JLPT vocabulary list",1223660,seed
n4-vocab-1589060-6998ff96,N4,行う,おこなう,"to do","Jonathan Waller JLPT vocabulary list",1589060,seed
n4-vocab-1445690-02ce8881,N4,怒る,おこる,"to get angry,to be angry","Jonathan Waller JLPT vocabulary list",1445690,seed
n4-vocab-1589110-cffcc943,N4,押し入れ,おしいれ,closet,"Jonathan Waller JLPT vocabulary list",1589110,seed
n4-vocab-1002170-fc4b16a8,N4,お嬢さん,おじょうさん,"young lady","Jonathan Waller JLPT vocabulary list",1002170,seed
n4-vocab-1002400-b6374a15,N4,お宅,おたく,"(polite) your house","Jonathan Waller JLPT vocabulary list",1002400,seed
n4-vocab-1548550-3a5c7c1a,N4,落る,おちる,"to fall or drop","Jonathan Waller JLPT vocabulary list",1548550,seed
n4-vocab-1238840-a60522c1,N4,おっしゃる,おっしゃる,"(respectful) to say","Jonathan Waller JLPT vocabulary list",1238840,seed
n4-vocab-1496480-5b97a6da,N4,夫,おっと,husband,"Jonathan Waller JLPT vocabulary list",1496480,seed
n4-vocab-1270550-cd8a899e,N4,おつり,おつり,"change from purchase, balance","Jonathan Waller JLPT vocabulary list",1270550,seed
n4-vocab-1576900-dea76170,N4,音,おと,"sound,note","Jonathan Waller JLPT vocabulary list",1576900,seed
n4-vocab-1589260-8e39ab3d,N4,落す,おとす,"to drop","Jonathan Waller JLPT vocabulary list",1589260,seed
n4-vocab-1546880-173d5c97,N4,踊り,おどり,"a dance","Jonathan Waller JLPT vocabulary list",1546880,seed
n4-vocab-1538440-39d51730,N4,踊る,おどる,"to dance","Jonathan Waller JLPT vocabulary list",1538440,seed
n4-vocab-1238680-3a4698f3,N4,驚く,おどろく,"to be surprised","Jonathan Waller JLPT vocabulary list",1238680,seed
n4-vocab-1604135-f83b20d4,N4,お祭り,おまつり,festival,"Jonathan Waller JLPT vocabulary list",1604135,seed
n4-vocab-1001870-c6903f7d,N4,お見舞い,おみまい,"calling on someone who is ill,enquiry","Jonathan Waller JLPT vocabulary list",1001870,seed
n4-vocab-1002500-8ce4b2a4,N4,お土産,おみやげ,souvenir,"Jonathan Waller JLPT vocabulary list",1002500,seed
n4-vocab-1309260-cbb28605,N4,思い出す,おもいだす,"to remember","Jonathan Waller JLPT vocabulary list",1309260,seed
n4-vocab-1589350-057ce351,N4,思う,おもう,"to think,to feel","Jonathan Waller JLPT vocabulary list",1589350,seed
n4-vocab-1217070-9d2f7e57,N4,おもちゃ,おもちゃ,toy,"Jonathan Waller JLPT vocabulary list",1217070,seed
n4-vocab-1489340-71b0eb88,N4,表,おもて,"the front","Jonathan Waller JLPT vocabulary list",1489340,seed
n4-vocab-1365040-c9e5ca9b,N4,親,おや,parents,"Jonathan Waller JLPT vocabulary list",1365040,seed
n4-vocab-1589500-7b11fbbf,N4,下りる,おりる,"to get off","Jonathan Waller JLPT vocabulary list",1589500,seed
n4-vocab-1385910-61b4dd5f,N4,折る,おる,"to break or to fold","Jonathan Waller JLPT vocabulary list",1385910,seed
n4-vocab-1270810-7a8b31df,N4,お礼,おれい,"expression of gratitude","Jonathan Waller JLPT vocabulary list",1270810,seed
n4-vocab-1385920-eb3fbf39,N4,折れる,おれる,"to break or be folded","Jonathan Waller JLPT vocabulary list",1385920,seed
n4-vocab-1589590-f7970e33,N4,終わり,おわり,"the end","Jonathan Waller JLPT vocabulary list",1589590,seed
n4-vocab-1036290-adf1172e,N4,カーテン,カーテン,curtain,"Jonathan Waller JLPT vocabulary list",1036290,seed
n4-vocab-1201280-5df1885d,N4,海岸,かいがん,coast,"Jonathan Waller JLPT vocabulary list",1201280,seed
n4-vocab-1198360-c252b135,N4,会議,かいぎ,meeting,"Jonathan Waller JLPT vocabulary list",1198360,seed
n4-vocab-1198380-f14c68b8,N4,会議室,かいぎしつ,"meeting room","Jonathan Waller JLPT vocabulary list",1198380,seed
n4-vocab-1198660-992f0c56,N4,会場,かいじょう,"assembly hall or meeting place","Jonathan Waller JLPT vocabulary list",1198660,seed
n4-vocab-1198880-2bf1fae5,N4,会話,かいわ,conversation,"Jonathan Waller JLPT vocabulary list",1198880,seed
n4-vocab-1221250-758896d2,N4,帰り,かえり,return,"Jonathan Waller JLPT vocabulary list",1221250,seed
n4-vocab-1510650-d03dcef4,N4,変える,かえる,"to change","Jonathan Waller JLPT vocabulary list",1510650,seed
n4-vocab-1192700-2b085487,N4,科学,かがく,science,"Jonathan Waller JLPT vocabulary list",1192700,seed
n4-vocab-1238550-2a2abc9e,N4,鏡,かがみ,mirror,"Jonathan Waller JLPT vocabulary list",1238550,seed
n4-vocab-1357210-2e8bc5d0,N4,飾る,かざる,"to decorate","Jonathan Waller JLPT vocabulary list",1357210,seed
n4-vocab-1193950-c25fdc73,N4,火事,かじ,fire,"Jonathan Waller JLPT vocabulary list",1193950,seed
n4-vocab-1040060-a5d7c3b3,N4,ガス,ガス,petrol,"Jonathan Waller JLPT vocabulary list",1040060,seed
n4-vocab-1040250-5a9ab3c5,N4,ガソリン,ガソリン,petrol,"Jonathan Waller JLPT vocabulary list",1040250,seed
n4-vocab-1040260-a900e3f3,N4,ガソリンスタンド,ガソリンスタンド,"petrol station","Jonathan Waller JLPT vocabulary list",1040260,seed
n4-vocab-1257110-9d7975d4,N4,堅い,かたい,hard,"Jonathan Waller JLPT vocabulary list",1257110,seed
n4-vocab-1257110-c9287eb8,N4,硬い,かたい,hard,"Jonathan Waller JLPT vocabulary list",1257110,seed
n4-vocab-1257110-b5b67adb,N4,固い,かたい,hard,"Jonathan Waller JLPT vocabulary list",1257110,seed
n4-vocab-1250220-035da889,N4,形,かたち,shape,"Jonathan Waller JLPT vocabulary list",1250220,seed
n4-vocab-1511790-6ba21d2c,N4,片付ける,かたづける,"to tidy up","Jonathan Waller JLPT vocabulary list",1511790,seed
n4-vocab-1195840-51dd6ff2,N4,課長,かちょう,"section manager","Jonathan Waller JLPT vocabulary list",1195840,seed
n4-vocab-1346150-99dae8c6,N4,勝つ,かつ,"to win","Jonathan Waller JLPT vocabulary list",1346150,seed
n4-vocab-1590480-f58cbd60,N4,格好,かっこう,appearance,"Jonathan Waller JLPT vocabulary list",1590480,seed
n4-vocab-1192420-94e52cfa,N4,家内,かない,housewife,"Jonathan Waller JLPT vocabulary list",1192420,seed
n4-vocab-1483190-75af7b69,N4,悲しい,かなしい,sad,"Jonathan Waller JLPT vocabulary list",1483190,seed
n4-vocab-1487400-a3ba34d8,N4,必ず,かならず,"certainly,necessarily","Jonathan Waller JLPT vocabulary list",1487400,seed
n4-vocab-2429350-dc0a539d,N4,お金持ち,おかねもち,"rich man","Jonathan Waller JLPT vocabulary list",2429350,seed
n4-vocab-1242970-b5eb0efe,N4,金持ち,かねもち,"rich man","Jonathan Waller JLPT vocabulary list",1242970,seed
n4-vocab-1483150-cb68ea96,N4,彼女,かのじょ,"she,girlfriend","Jonathan Waller JLPT vocabulary list",1483150,seed
n4-vocab-1509290-449184ed,N4,壁,かべ,wall,"Jonathan Waller JLPT vocabulary list",1509290,seed
n4-vocab-1279680-8b9dc62f,N4,かまう,かまう,"to mind","Jonathan Waller JLPT vocabulary list",1279680,seed
n4-vocab-1477950-c65aabb8,N4,髪,かみ,hair,"Jonathan Waller JLPT vocabulary list",1477950,seed
n4-vocab-1209240-3ea02b2f,N4,噛む,かむ,"to bite,to chew","Jonathan Waller JLPT vocabulary list",1209240,seed
n4-vocab-1432850-1c7ad8aa,N4,通う,かよう,"to commute","Jonathan Waller JLPT vocabulary list",1432850,seed
n4-vocab-1040380-d201c538,N4,ガラス,ガラス,"a glass pane","Jonathan Waller JLPT vocabulary list",1040380,seed
n4-vocab-1483070-12662fb8,N4,彼,かれ,"he,boyfriend","Jonathan Waller JLPT vocabulary list",1483070,seed
n4-vocab-1483090-b9d2151c,N4,彼ら,かれら,they,"Jonathan Waller JLPT vocabulary list",1483090,seed
n4-vocab-1209650-329bbbd0,N4,乾く,かわく,"to get dry","Jonathan Waller JLPT vocabulary list",1209650,seed
n4-vocab-1590770-12a01a76,N4,代わり,かわり,"substitute,alternate","Jonathan Waller JLPT vocabulary list",1590770,seed
n4-vocab-1510790-b9c40bf5,N4,変わる,かわる,"to change","Jonathan Waller JLPT vocabulary list",1510790,seed
n4-vocab-1281020-e5fb10a0,N4,考える,かんがえる,"to consider","Jonathan Waller JLPT vocabulary list",1281020,seed
n4-vocab-1215810-73f49a82,N4,関係,かんけい,relationship,"Jonathan Waller JLPT vocabulary list",1215810,seed
n4-vocab-1213870-d1a80272,N4,看護婦,かんごふ,"female nurse","Jonathan Waller JLPT vocabulary list",1213870,seed
n4-vocab-1214330-7e3d1409,N4,簡単,かんたん,simple,"Jonathan Waller JLPT vocabulary list",1214330,seed
n4-vocab-1221520-7f639f77,N4,気,き,"spirit,mood","Jonathan Waller JLPT vocabulary list",1221520,seed
n4-vocab-1220800-fa9ef560,N4,機会,きかい,opportunity,"Jonathan Waller JLPT vocabulary list",1220800,seed
n4-vocab-1218560-0a30c06a,N4,危険,きけん,danger,"Jonathan Waller JLPT vocabulary list",1218560,seed
n4-vocab-1591150-300de3b5,N4,聞こえる,きこえる,"to be heard","Jonathan Waller JLPT vocabulary list",1591150,seed
n4-vocab-1222700-c8a47be7,N4,汽車,きしゃ,"steam train","Jonathan Waller JLPT vocabulary list",1222700,seed
n4-vocab-1225130-b2cea819,N4,技術,ぎじゅつ,"art,technology,skill","Jonathan Waller JLPT vocabulary list",1225130,seed
n4-vocab-1222840-e89f8186,N4,季節,きせつ,season,"Jonathan Waller JLPT vocabulary list",1222840,seed
n4-vocab-1223021-5e217cdd,N4,規則,きそく,regulations,"Jonathan Waller JLPT vocabulary list",1223021,seed
n4-vocab-1003430-b33adee9,N4,きっと,きっと,surely,"Jonathan Waller JLPT vocabulary list",1003430,seed
n4-vocab-1258710-208a0527,N4,絹,きぬ,silk,"Jonathan Waller JLPT vocabulary list",1258710,seed
n4-vocab-1262530-b9eee5df,N4,厳しい,きびしい,strict,"Jonathan Waller JLPT vocabulary list",1262530,seed
n4-vocab-1222590-aa642421,N4,気分,きぶん,mood,"Jonathan Waller JLPT vocabulary list",1222590,seed
n4-vocab-1591420-3a4512f7,N4,決る,きまる,"to be decided","Jonathan Waller JLPT vocabulary list",1591420,seed
n4-vocab-1247250-61e82eae,N4,君,きみ,"(informal) You (used by men towards women)","Jonathan Waller JLPT vocabulary list",1247250,seed
n4-vocab-1254180-e1ee46e7,N4,決める,きめる,"to decide","Jonathan Waller JLPT vocabulary list",1254180,seed
n4-vocab-1591430-a1f0cdf2,N4,気持ち,きもち,"feeling,mood","Jonathan Waller JLPT vocabulary list",1591430,seed
n4-vocab-1423240-ef71e2c2,N4,着物,きもの,kimono,"Jonathan Waller JLPT vocabulary list",1423240,seed
n4-vocab-1226630-2123a15a,N4,客,きゃく,"guest,customer","Jonathan Waller JLPT vocabulary list",1226630,seed
n4-vocab-1228560-c8aa0db6,N4,急,きゅう,"urgent, steep","Jonathan Waller JLPT vocabulary list",1228560,seed
n4-vocab-1228690-c49e35bd,N4,急行,きゅうこう,"speedy, express","Jonathan Waller JLPT vocabulary list",1228690,seed
n4-vocab-1236950-f0a0ca82,N4,教育,きょういく,education,"Jonathan Waller JLPT vocabulary list",1236950,seed
n4-vocab-1237030-c9888757,N4,教会,きょうかい,church,"Jonathan Waller JLPT vocabulary list",1237030,seed
n4-vocab-1234140-41ad5753,N4,競争,きょうそう,competition,"Jonathan Waller JLPT vocabulary list",1234140,seed
n4-vocab-1238410-26233f9a,N4,興味,きょうみ,"an interest","Jonathan Waller JLPT vocabulary list",1238410,seed
n4-vocab-1242350-29064b4b,N4,近所,きんじょ,neighbourhood,"Jonathan Waller JLPT vocabulary list",1242350,seed
n4-vocab-1592500-bec2c892,N4,具合,ぐあい,"condition,health","Jonathan Waller JLPT vocabulary list",1592500,seed
n4-vocab-1245470-dd766227,N4,空気,くうき,"air,atmosphere","Jonathan Waller JLPT vocabulary list",1245470,seed
n4-vocab-1245570-9d24ea31,N4,空港,くうこう,airport,"Jonathan Waller JLPT vocabulary list",1245570,seed
n4-vocab-1401910-ccc07253,N4,草,くさ,grass,"Jonathan Waller JLPT vocabulary list",1401910,seed
n4-vocab-1184280-c53f8939,N4,くださる,くださる,"(respectful) to give","Jonathan Waller JLPT vocabulary list",1184280,seed
n4-vocab-1592270-169b3d2b,N4,首,くび,neck,"Jonathan Waller JLPT vocabulary list",1592270,seed
n4-vocab-1173100-616ca1d9,N4,雲,くも,cloud,"Jonathan Waller JLPT vocabulary list",1173100,seed
n4-vocab-1483540-104fa908,N4,比べる,くらべる,"to compare","Jonathan Waller JLPT vocabulary list",1483540,seed
n4-vocab-1269130-18ec1468,N4,呉れる,くれる,"to give","Jonathan Waller JLPT vocabulary list",1269130,seed
n4-vocab-1514960-aa6138de,N4,暮れる,くれる,"to get dark,to come to an end","Jonathan Waller JLPT vocabulary list",1514960,seed
n4-vocab-1247260-66f6240b,N4,君,くん,"suffix for familiar young male","Jonathan Waller JLPT vocabulary list",1247260,seed
n4-vocab-1533820-ab86a3a9,N4,毛,け,"hair or fur","Jonathan Waller JLPT vocabulary list",1533820,seed
n4-vocab-1252090-9ded59a8,N4,計画,けいかく,"to plan","Jonathan Waller JLPT vocabulary list",1252090,seed
n4-vocab-1251270-617fe400,N4,経験,けいけん,"to experience","Jonathan Waller JLPT vocabulary list",1251270,seed
n4-vocab-1251320-b23ad66e,N4,経済,けいざい,"finance,economy","Jonathan Waller JLPT vocabulary list",1251320,seed
n4-vocab-1252390-345f30f6,N4,警察,けいさつ,police,"Jonathan Waller JLPT vocabulary list",1252390,seed
n4-vocab-1047860-72b7ca6f,N4,ケーキ,ケーキ,cake,"Jonathan Waller JLPT vocabulary list",1047860,seed
n4-vocab-1200220-d383d4cc,N4,怪我,けが,"to injure","Jonathan Waller JLPT vocabulary list",1200220,seed
n4-vocab-1250870-5947f3bc,N4,景色,けしき,"scene,landscape","Jonathan Waller JLPT vocabulary list",1250870,seed
n4-vocab-1350080-8005fbcb,N4,消しゴム,けしゴム,eraser,"Jonathan Waller JLPT vocabulary list",1350080,seed
n4-vocab-1185290-7a7c9ea9,N4,下宿,げしゅく,lodging,"Jonathan Waller JLPT vocabulary list",1185290,seed
n4-vocab-1254130-cc96879c,N4,決して,けっして,never,"Jonathan Waller JLPT vocabulary list",1254130,seed
n4-vocab-2853889-e4e7e225,N4,けれど,けれど,however,"Jonathan Waller JLPT vocabulary list",2853889,seed
n4-vocab-2853889-88e1bc0f,N4,けれども,けれども,however,"Jonathan Waller JLPT vocabulary list",2853889,seed
n4-vocab-1261190-c0db6003,N4,原因,げんいん,"cause,source","Jonathan Waller JLPT vocabulary list",1261190,seed
n4-vocab-1257040-c516b1e9,N4,喧嘩,けんか,"to quarrel","Jonathan Waller JLPT vocabulary list",1257040,seed
n4-vocab-1258520-309b1bf4,N4,研究,けんきゅう,research,"Jonathan Waller JLPT vocabulary list",1258520,seed
n4-vocab-1258570-cb664c78,N4,研究室,けんきゅうしつ,"study room,laboratory","Jonathan Waller JLPT vocabulary list",1258570,seed
n4-vocab-1260000-d89fd5e6,N4,見物,けんぶつ,sightseeing,"Jonathan Waller JLPT vocabulary list",1260000,seed
n4-vocab-1307770-0998c512,N4,子,こ,child,"Jonathan Waller JLPT vocabulary list",1307770,seed
n4-vocab-1004310-44595620,N4,斯う,こう,"this way","Jonathan Waller JLPT vocabulary list",1004310,seed
n4-vocab-1282490-c314cfca,N4,郊外,こうがい,outskirts,"Jonathan Waller JLPT vocabulary list",1282490,seed
n4-vocab-1282260-2e0646af,N4,講義,こうぎ,lecture,"Jonathan Waller JLPT vocabulary list",1282260,seed
n4-vocab-1278040-5d202b38,N4,工業,こうぎょう,"the manufacturing industry","Jonathan Waller JLPT vocabulary list",1278040,seed
n4-vocab-1283500-63960fac,N4,高校,こうこう,"high school","Jonathan Waller JLPT vocabulary list",1283500,seed
n4-vocab-1283510-c9a0cbc5,N4,高校生,こうこうせい,"high school student","Jonathan Waller JLPT vocabulary list",1283510,seed
n4-vocab-1578700-dd74bce4,N4,工場,こうじょう,factory,"Jonathan Waller JLPT vocabulary list",1578700,seed
n4-vocab-1279590-e6d233fb,N4,校長,こうちょう,headmaster,"Jonathan Waller JLPT vocabulary list",1279590,seed
n4-vocab-1272280-df804579,N4,交通,こうつう,"traffic,transportation","Jonathan Waller JLPT vocabulary list",1272280,seed
n4-vocab-1282340-4e4acc67,N4,講堂,こうどう,auditorium,"Jonathan Waller JLPT vocabulary list",1282340,seed
n4-vocab-1283860-a0f3cad3,N4,高等学校,こうとうがっこう,"high school","Jonathan Waller JLPT vocabulary list",1283860,seed
n4-vocab-1274820-2d599f54,N4,公務員,こうむいん,"government worker","Jonathan Waller JLPT vocabulary list",1274820,seed
n4-vocab-1286400-4a1d4b9d,N4,国際,こくさい,international,"Jonathan Waller JLPT vocabulary list",1286400,seed
n4-vocab-1360480-28597ee7,N4,心,こころ,"core,heart","Jonathan Waller JLPT vocabulary list",1360480,seed
n4-vocab-1270390-51593ca4,N4,御主人,ごしゅじん,"(honorable) your husband","Jonathan Waller JLPT vocabulary list",1270390,seed
n4-vocab-1267180-76f3e6c9,N4,故障,こしょう,"to break-down","Jonathan Waller JLPT vocabulary list",1267180,seed
n4-vocab-1593570-7cf6b30d,N4,ご存じ,ごぞんじ,"knowing,acquaintance","Jonathan Waller JLPT vocabulary list",1593570,seed
n4-vocab-1449530-75828126,N4,答,こたえ,response,"Jonathan Waller JLPT vocabulary list",1449530,seed
n4-vocab-1593590-006c3494,N4,ごちそう,ごちそう,"a feast","Jonathan Waller JLPT vocabulary list",1593590,seed
n4-vocab-2524270-491c26b9,N4,こと,こと,"thing,matter","Jonathan Waller JLPT vocabulary list",2524270,seed
